,target
0,386250
1,194000
2,123000
3,135000
4,250000
5,269500
6,156500
7,278000
8,421250
9,232500
10,64000
11,179900
12,174000
13,105000
14,255000
15,235000
16,220000
17,149500
18,315000
19,174190
20,137000
21,135960
22,172000
23,115000
24,173000
25,115000
26,107000
27,130000
28,374000
29,112000
30,350000
31,165000
32,134000
33,127000
34,263000
35,95000
36,167000
37,146000
38,152000
39,90000
40,165000
41,128500
42,370967
43,137000
44,190000
45,145000
46,142500
47,315500
48,152400
49,260000
50,206000
51,155000
52,284500
53,187500
54,200000
55,173000
56,146500
57,220000
58,124000
59,155000
60,164000
61,250000
62,110000
63,185000
64,119900
65,80900
66,116000
67,247000
68,79400
69,194500
70,190000
71,120000
72,135500
73,227000
74,185000
75,154000
76,297000
77,239000
78,126000
79,108000
80,149000
81,160000
82,290000
83,250764
84,345000
85,123000
86,163000
87,246000
88,137000
89,180000
90,252000
91,130000
92,207500
93,123000
94,462000
95,195000
96,277500
97,171925
98,173500
99,159895
100,149900
101,144000
102,254000
103,185000
104,152500
105,117000
106,125000
107,470000
108,85500
109,197600
110,342000
111,139500
112,212000
113,202665
114,176500
115,136000
116,263550
117,108000
118,336820
119,158000
120,345000
121,223000
122,98000
123,159000
124,216837
125,184000
126,167300
127,189000
128,139000
129,121000
130,122500
131,144000
132,285000
133,63000
134,150500
135,155000
136,155000
137,170000
138,163500
139,314813
140,134000
141,339750
142,213000
143,136500
144,115000
145,136300
146,137500
147,128000
148,140000
149,171000
150,310000
151,190000
152,229800
153,113500
154,193500
155,107000
156,117000
157,207500
158,112000
159,107000
160,143500
161,123000
162,298236
163,375000
164,150000
165,139500
166,152000
167,156000
168,183000
169,214000
170,191000
171,207500
172,134500
173,218689
174,325000
175,165500
176,244000
177,239500
178,215000
179,143000
180,124900
181,120000
182,315000
183,197900
184,199900
185,190000
186,220000
187,190000
188,213000
189,230000
190,215000
191,144750
192,143000
193,143500
194,165000
195,195800
196,185500
197,144000
198,159500
199,166000
200,175000
201,325000
202,116000
203,128900
204,128200
205,187500
206,250000
207,213000
208,175000
209,130000
210,110000
211,237000
212,315000
213,170000
214,335000
215,155000
216,130000
217,297900
218,385000
219,123000
220,256900
221,290000
222,196000
223,125000
224,136000
225,130000
226,129500
227,110000
228,202000
229,175000
230,153000
231,161000
232,75000
233,200000
234,80000
235,220000
236,248900
237,159500
238,249000
239,133000
240,113000
241,300000
242,318000
243,89471
244,167000
245,392500
246,80400
247,230000
248,218500
249,166000
250,306000
251,117000
252,119000
253,113000
254,267300
255,124400
256,220000
257,144000
258,200100
259,264500
260,176432
261,164900
262,225000
263,268000
264,232000
265,204500
266,239686
267,225000
268,146000
269,129000
270,227875
271,251000
272,189000
273,375000
274,109900
275,164500
276,209000
277,135000
278,230000
279,129000
280,122500
281,229000
282,280000
283,145000
284,148000
285,342643
286,168000
287,158000
288,127000
289,212000
290,290941
291,134900
292,150000
293,163000
294,270000
295,126500
296,128500
297,292500
298,372500
299,162000
300,305900
301,76000
302,167000
303,147000
304,115400
305,106500
306,260000
307,240050
308,148000
309,173000
310,188900
311,145250
312,223500
313,105000
314,35311
315,227680
316,67000
317,159500
318,226000
319,138000
320,127000
321,144000
322,157500
323,157000
324,189000
325,108000
326,105500
327,180000
328,207500
329,163000
330,124500
331,252000
332,129000
333,132000
334,131750
335,148500
336,203000
337,175900
338,179200
339,188000
340,124500
341,308030
342,133900
343,383970
344,202500
345,123000
346,99500
347,152000
348,147500
349,178900
350,129000
351,179540
352,300000
353,142500
354,134500
355,145500
356,137000
357,178900
358,360000
359,148800
360,142500
361,315000
362,189950
363,129250
364,327000
365,193000
366,183500
367,127000
368,161750
369,155000
370,144000
371,198000
372,112500
373,293077
374,145000
375,231000
376,240900
377,250000
378,129500
379,278000
380,345474
381,105000
382,150000
383,231500
384,171500
385,71000
386,200000
387,138500
388,172000
389,143450
390,315000
391,264966
392,135000
393,152000
394,316000
395,131250
396,242000
397,281500
398,215000
399,219210
400,99900
401,146500
402,119000
403,141000
404,50000
405,105000
406,87500
407,141000
408,153000
409,119000
410,208300
411,223000
412,140000
413,112000
414,141500
415,275000
416,426000
417,103500
418,446261
419,149500
420,169985
421,173500
422,149900
423,282000
424,104500
425,270000
426,140200
427,213000
428,120000
429,181900
430,159000
431,149900
432,186500
433,128600
434,140500
435,158900
436,195000
437,161500
438,68500
439,141500
440,193000
441,158900
442,91000
443,150000
444,80000
445,127500
446,116050
447,147900
448,134450
449,184000
450,398800
451,214900
452,150750
453,208500
454,143000
455,181000
